Date,Close_XOM,High_XOM,Low_XOM,Open_XOM,Volume_XOM,SharesOutstanding
2020-01-02,54.131080627441406,54.22269508757657,53.62717779698789,53.62717779698789,12456400,4263247021
2020-01-03,53.695884704589844,54.48990955598926,53.566093693043925,54.4670001201931,17386900,4263247021
2020-01-06,54.10818099975586,54.482286997707355,53.61955109326836,53.68826194343318,20081900,4263247021
2020-01-07,53.66535568237305,53.840953951871484,53.06983837724328,53.82568681645201,17387700,4263247021
2020-01-08,52.85605239868164,53.66534437878805,52.810239352217536,53.527916889248615,15137700,4263247021
2020-01-09,53.26070022583008,53.3675876297224,52.397958690936356,52.78733756221647,14811800,4263247021
2020-01-10,52.78733825683594,53.41339555569771,52.772071123904695,53.390491943837496,11995600,4263247021
2020-01-13,53.29124450683594,53.34468821298471,52.764438099850146,52.833148939929806,9953900,4263247021
2020-01-14,52.83314514160156,53.12327308977425,52.59646672066209,52.970572636807916,16261000,4263247021
2020-01-15,52.74916076660156,53.13090315741475,52.59646614024694,52.833144558574595,11390300,4263247021
2020-01-16,52.543025970458984,53.12327607447875,52.527758836767916,52.909501253241736,13340300,4263247021
2020-01-17,52.344520568847656,52.74153596127759,52.138382217917425,52.489584557419434,18144100,4263247021
2020-01-21,51.5963020324707,52.23762644178816,51.54285833169425,52.207086352069254,17982600,4263247021
2020-01-22,51.29853820800781,51.68791120613521,51.15347425286667,51.5810238154815,17033100,4263247021
2020-01-23,50.97787094116211,51.10003128933059,50.42816684918198,50.93206372306193,19605900,4263247021
2020-01-24,50.63431930541992,50.90917434068177,50.42054446131129,50.80228691862746,18238600,4263247021
2020-01-27,49.42800521850586,50.183859378177495,49.39746512696012,49.94717512492972,21231000,4263247021
2020-01-28,49.359291076660156,49.77920420121581,49.34401811944637,49.71049336853318,19664700,4263247021
2020-01-29,48.947017669677734,49.725769708920765,48.78668653880204,49.64942238349342,14202800,4263247021
2020-01-30,49.4661865234375,49.53489736729639,48.427846611213226,48.6950651566546,18544700,4263247021
2020-01-31,47.42768478393555,48.25224993670543,47.229179976304266,48.25224993670543,34282900,4263247021
2020-02-03,46.366432189941406,46.893235660674264,46.091577192180466,46.862698481727925,27389300,4263247021
2020-02-04,45.78618621826172,47.2673457409833,45.725106033837655,46.91614341793542,31922100,4263247021
