Date,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,TotalRevenue,GrossProfit,OperatingIncome,NetIncome,TotalAssets,TotalLiab,CommonStock,OperatingCashFlow,CapEx,DebtToEquity,FreeCashFlow
2006-01-03,18.75008773803711,18.861861626263423,18.233133171877945,18.337921025533884,79973000,,,,,,,,,,,
2006-01-04,18.840898513793945,18.917743541189363,18.70118185687895,18.70118185687895,57975600,,,,,,,,,,,
2006-01-05,18.85487174987793,18.952673549035673,18.798984817152135,18.833913650437164,48245500,,,,,,,,,,,
2006-01-06,18.798980712890625,18.86185366503669,18.505574047025416,18.785008649647214,100963000,,,,,,,,,,,
2006-01-09,18.764055252075195,18.910757945090456,18.694196255780035,18.81295614974695,55625000,,,,,,,,,,,
2006-01-10,18.861845016479492,18.87581707331642,18.575424513565885,18.617339351627987,64921900,,,,,,,,,,,
2006-01-11,19.06444549560547,19.134303150261708,18.791995579138604,18.86884059819969,70120700,,,,,,,,,,,
2006-01-12,18.95966148376465,19.04349255748607,18.840901573254968,19.036506523638472,45994800,,,,,,,,,,,
2006-01-13,18.994590759277344,19.036505627941036,18.868844820836614,18.882816887874394,41418000,,,,,,,,,,,
2006-01-17,18.85487174987793,18.994589747917203,18.791998784005212,18.791998784005212,58566600,,,,,,,,,,,
2006-01-18,18.74310302734375,18.847890888401142,18.652287236413994,18.680230044219325,52376200,,,,,,,,,,,
2006-01-19,18.875839233398438,19.029528041688014,18.75707927575869,18.771051348998718,60367600,,,,,,,,,,,
2006-01-20,18.449695587158203,18.86884834953052,18.344907729677598,18.86884834953052,79165900,,,,,,,,,,,
2006-01-23,18.40778160095215,18.53352756899056,18.37285142513594,18.44969647948163,47925600,,,,,,,,,,,
2006-01-24,18.35887908935547,18.47763901189412,18.316962882024285,18.4007939642368,63040700,,,,,,,,,,,
2006-01-25,18.44270896911621,18.561468892491973,18.32394904574045,18.449695003720652,59072100,,,,,,,,,,,
2006-01-26,18.512563705444336,18.666252433883166,18.379831743526974,18.554478570936826,69509300,,,,,,,,,,,
2006-01-27,19.41374397277832,19.52551784722993,18.994591277359937,19.022534079747995,134520700,,,,,,,,,,,
