Date,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,SharesOutstanding
2015-01-02,39.933048248291016,40.49668825463455,39.74517041801134,39.84764953068682,27913900,7433166379
2015-01-05,39.565834045410156,39.907432198522,39.49751246013629,39.5999915802946,39673900,7433166379
2015-01-06,38.9851188659668,39.92451798606721,38.891178302406175,39.608538755888404,36447900,7433166379
2015-01-07,39.480430603027344,39.676850266793366,38.84847225138925,39.26693054357484,29114100,7433166379
2015-01-08,40.641876220703125,40.778516144489735,39.89889683872298,39.92451580638524,29645200,7433166379
2015-01-09,40.30027389526367,40.838295008597264,40.05261627855695,40.65895572340363,23944200,7433166379
2015-01-12,39.79641342163086,40.599175803615054,39.591455170136825,40.49669342011537,23651900,7433166379
2015-01-13,39.59144973754883,40.91514939413639,39.33525032945966,40.112390380056404,35270600,7433166379
2015-01-14,39.249855041503906,39.488977353175756,38.9594947941367,39.249855041503906,29719600,7433166379
2015-01-15,38.83992385864258,39.608525245837754,38.78014411272204,39.47188536119771,32750800,7433166379
2015-01-16,39.48898696899414,39.523144515191035,38.57520338096394,38.69476619479056,35695300,7433166379
2015-01-20,39.61707305908203,39.839114959536516,38.916793079653424,39.540212902425104,36161900,7433166379
2015-01-21,39.21567916870117,39.40356021469065,38.83992033447374,39.23275955995035,39081100,7433166379
2015-01-22,40.24904251098633,40.25758108215773,39.35234268134121,39.60854216727507,35898000,7433166379
2015-01-23,40.29173278808594,40.47107206198557,39.96721177501577,40.44545309650062,26211600,7433166379
2015-01-26,40.146549224853516,40.249031597641995,39.48897191709859,40.138010655997306,42525500,7433166379
2015-01-27,36.4316520690918,36.892813005375224,35.961952563359816,36.67931293388318,169164000,7433166379
2015-01-28,35.17627716064453,36.542679827447365,35.15065818977271,36.49998045674328,84507100,7433166379
2015-01-29,35.87656021118164,35.97050078909692,34.83468179787974,34.95424134877066,63585300,7433166379
2015-01-30,34.501625061035156,35.5093460155753,34.45892242542881,35.483723782660746,78004900,7433166379
2015-02-02,35.25313949584961,35.32999967093808,34.35643962498634,34.66388032534023,50352500,7433166379
2015-02-03,35.52641296386719,35.80823464076399,35.05671342679196,35.552035189427755,52082400,7433166379
2015-02-04,35.73136901855469,36.047348184984685,35.32144930751657,35.816767736697194,41614800,7433166379
2015-02-05,36.252315521240234,36.414574415003784,35.7484551842607,36.05589583160452,36548200,7433166379
2015-02-06,36.21815872192383,36.54267980301358,35.996120039759155,36.4487392328755,34616600,7433166379
2015-02-09,36.175453186035156,36.499974211818305,36.04735183808711,36.07297406232828,31381100,7433166379
2015-02-10,36.38042449951172,36.52560629651186,36.02174580884157,36.499987320822214,29670700,7433166379
2015-02-11,36.192535400390625,36.423115883624384,36.04735364824221,36.423115883624384,38262500,7433166379
2015-02-12,36.79887390136719,36.79887390136719,36.30355215228472,36.43165350332403,33268800,7433166379
2015-02-13,37.46498489379883,37.46498489379883,36.850107013781866,37.04652665329095,40264900,7433166379
2015-02-17,37.48218536376953,37.84341640001134,37.14675232605605,37.81761512054717,33695700,7433166379
2015-02-18,37.43918228149414,37.58539720068309,37.318771925065676,37.52519202246886,27111700,7433166379
2015-02-19,37.41338348388672,37.439184767424244,37.02634782614199,37.138158856365216,27603400,7433166379
2015-02-20,37.723018646240234,37.74022059860351,37.232774487166274,37.421989401288386,29721100,7433166379
2015-02-23,37.97243881225586,38.00683943312668,37.54239988247238,37.5854031192634,32518800,7433166379
2015-02-24,37.92085266113281,38.10146831805503,37.77463764295409,37.9724585406556,25271700,7433166379
2015-02-25,37.8348274230957,37.920833898808034,37.67141052593083,37.80042352043607,29759800,7433166379
2015-02-26,37.895042419433594,38.04125412217117,37.748827435758436,37.83483721466664,28957300,7433166379
2015-02-27,37.714412689208984,38.01544190749855,37.550999077636924,37.95523672002797,33807700,7433166379
2015-03-02,37.74021530151367,38.00683732337987,37.456388048762136,37.55959646751884,31924000,7433166379
2015-03-03,37.22417449951172,37.69722002056867,37.060760861924784,37.46499856866903,31748600,7433166379
2015-03-04,37.03495407104492,37.16396378231306,36.88013979277381,36.99194755301886,25748700,7433166379
2015-03-05,37.077964782714844,37.189775846436675,36.8285413640036,37.043560873733156,23193500,7433166379
2015-03-06,36.432891845703125,37.07795011979578,36.25227631638183,36.983341047979096,36248800,7433166379
2015-03-09,36.85433578491211,37.095159821952365,36.286684516284716,36.286684516284716,32108000,7433166379
2015-03-10,36.14908218383789,36.733935565488295,36.14908218383789,36.42430691862189,39159700,7433166379
2015-03-11,36.10606002807617,36.441489792895304,35.985649679775555,36.38988723272985,32215300,7433166379
2015-03-12,35.280391693115234,35.822241624908195,35.14277937657345,35.54701699182463,59992500,7433166379
2015-03-13,35.590023040771484,35.66743018000774,34.92776268973612,35.00516982897238,58007700,7433166379
2015-03-16,35.744834899902344,35.81363941849058,35.50401088250236,35.66742776590529,35273500,7433166379
2015-03-17,35.8652458190918,35.977056854568836,35.39220367337029,35.58141856309698,31673400,7433166379
2015-03-18,36.55330276489258,36.837129984739896,35.54701341656722,35.63301987540429,44194800,7433166379
2015-03-19,36.3726921081543,36.63071480018687,36.312486922711244,36.34688754229546,33879100,7433166379
2015-03-20,36.880130767822266,36.96613722095435,36.5447010072969,36.60490618067654,71904500,7433166379
2015-03-23,36.86292266845703,37.09514399027816,36.79411489268692,36.880124612399555,26246100,7433166379
2015-03-24,36.89734649658203,37.12956466296428,36.76833348775891,36.79413477714869,25513300,7433166379
2015-03-25,35.65884017944336,36.923156140614495,35.64163822231217,36.914553521579975,43469900,7433166379
2015-03-26,35.443809509277344,35.78784198201802,35.19438613058719,35.45241212561111,37495600,7433166379
2015-03-27,35.23739242553711,35.63302747000862,35.11698204512724,35.36640214128906,34401400,7433166379
2015-03-30,35.22877883911133,35.72762543796907,35.18577561391844,35.34918918202574,35049700,7433166379
2015-03-31,34.97077178955078,35.28899973489946,34.867563346912306,35.07398023218926,34887200,7433166379
2015-04-01,35.02237319946289,35.05677382201138,34.6697413910805,34.91916148900695,36865300,7433166379
2015-04-02,34.65253829956055,35.039573998698025,34.50632335502563,34.970766193990606,37487500,7433166379
2015-04-06,35.736228942871094,35.9340464266024,34.55792337415151,34.6955356793966,39223700,7433166379
2015-04-07,35.71904754638672,36.04587818974451,35.52983256839057,35.78785537906754,28809400,7433166379
2015-04-08,35.62442398071289,35.8566454004997,35.297596750734456,35.658827883111684,24753400,7433166379
2015-04-09,35.67604064941406,35.79645106337526,35.47822307205814,35.47822307205814,25723900,7433166379
2015-04-10,35.8824462890625,36.080263786170065,35.61582099421159,35.80503915706942,28022000,7433166379
2015-04-13,35.91685485839844,36.17488087612234,35.59862692572596,35.60722954281655,30276700,7433166379
2015-04-14,35.822235107421875,36.149062249160515,35.59861308314193,35.951244785181075,24244400,7433166379
2015-04-15,36.346885681152344,36.51890189401148,35.84804227289086,35.916846789472686,27343600,7433166379
2015-04-16,36.26087951660156,36.415693781368006,35.96845293659121,36.08026396801951,22509700,7433166379
2015-04-17,35.79644012451172,35.899651831456524,35.4008050907001,35.83944336193703,42387600,7433166379
2015-04-20,36.90593719482422,37.12955597271715,35.84804192526331,35.891045157826994,46057700,7433166379
2015-04-21,36.67372512817383,37.11236674230665,36.579116023912356,36.983353730870604,26013800,7433166379
2015-04-22,36.974754333496094,37.0951647274711,36.59631791707503,36.69952635749115,25064300,7433166379
2015-04-23,37.2757682800293,37.50798965667134,36.8113255267452,36.88873265229255,46309500,7433166379
2015-04-24,41.17194366455078,41.40416517874523,39.26257223829319,39.27117157692052,130933700,7433166379
