Date,Close_GOOG,High_GOOG,Low_GOOG,Open_GOOG,Volume_GOOG,SharesOutstanding
2017-01-03,39.03984451293945,39.21315801797928,38.52636006227842,38.67583462508078,33146000,5430000000
2017-01-04,39.07758331298828,39.29807455702289,38.891854031356885,39.15008521081367,21460000,5430000000
2017-01-05,39.43115997314453,39.45400246436908,38.98421778085654,39.036858944079945,26704000,5430000000
2017-01-06,40.033538818359375,40.12044561798142,39.34097823664731,39.49274119617562,32804000,5430000000
2017-01-09,40.05836868286133,40.223039973673075,39.868664991654,40.04595288505653,25492000,5430000000
2017-01-10,39.96600341796875,40.18153138902927,39.90243922343087,40.11846352336331,23536000,5430000000
2017-01-11,40.120941162109375,40.13286063138583,39.79616404009806,39.97642991063359,21318000,5430000000
2017-01-12,40.043968200683594,40.09511659037095,39.686910764200164,40.082700792370545,27062000,5430000000
2017-01-13,40.11945343017578,40.28551520853678,40.06035619953752,40.09958891035039,21984000,5430000000
2017-01-17,39.957061767578125,40.08270115764326,39.746504683549304,40.07972318470543,27242000,5430000000
2017-01-18,40.029571533203125,40.036273867381354,39.777296280937875,40.01665940495022,25888000,5430000000
2017-01-19,39.836143493652344,40.1989106465564,39.81752168895122,39.98239380560924,18386000,5430000000
2017-01-20,39.977420806884766,40.07127999295463,39.81205238584608,40.07127999295463,33400000,5430000000
2017-01-23,40.68706512451172,40.76453409427209,39.91385683577853,40.08816296493175,39272000,5430000000
2017-01-24,40.91352081298828,41.01432861444819,40.61312440051975,40.83555550542103,29480000,5430000000
2017-01-25,41.49951171875,41.50447879622124,40.972615052258334,41.19906604644492,29890000,5430000000
2017-01-26,41.32469940185547,41.615214665480146,41.06944621547009,41.60577684078872,59478000,5430000000
2017-01-27,40.885711669921875,41.81137637075344,40.743185721298026,41.45183725595178,59316000,5430000000
2017-01-30,39.84334182739258,40.51474590637709,39.71819876621139,40.456148795137956,64932000,5430000000
2017-01-31,39.5687255859375,39.790209510320395,39.25735687894042,39.572199888148646,43212000,5430000000
2017-02-01,39.51434326171875,39.78722560100159,39.29062399633536,39.712238273734485,40594000,5430000000
2017-02-02,39.65513229370117,39.86221510289616,39.33085145796195,39.42023991172519,30642000,5430000000
2017-02-03,39.8021240234375,40.02608956435997,39.746504884825995,39.87661502372638,29268000,5430000000
2017-02-06,39.794673919677734,39.811060347888706,39.49224296960036,39.713230529892044,23690000,5430000000
2017-02-07,40.074256896972656,40.24955946688524,39.81652207190894,39.92627135420719,24824000,5430000000
2017-02-08,40.1442756652832,40.31610013858771,39.88654084971106,40.075744407469,23106000,5430000000
2017-02-09,40.202884674072266,40.257511159842615,39.953591186021384,40.200399240956344,19794000,5430000000
2017-02-10,40.406982421875,40.48544784205403,40.21380442193931,40.30915259983527,22700000,5430000000
2017-02-13,40.68359375,40.7689585215192,40.49736813863291,40.52269227572555,24266000,5430000000
2017-02-14,40.74367904663086,40.870314884677214,40.52269147704823,40.671673478713465,21094000,5430000000
2017-02-15,40.670677185058594,40.87031123083309,40.64534926195972,40.68954525641721,26272000,5430000000
2017-02-16,40.92791748046875,40.93983694936543,40.670678974194104,40.71785294343522,25752000,5430000000
2017-02-17,41.122093200683594,41.122093200683594,40.80352205420017,40.87131072673661,32220000,5430000000
2017-02-21,41.30037307739258,41.389265197238984,41.13599729444414,41.15139106662622,25246000,5430000000
2017-02-22,41.255680084228516,41.379334177452584,41.15040152650516,41.15139418429922,19658000,5430000000
2017-02-23,41.28398132324219,41.34009678727979,40.86435237617926,41.22389144007181,29456000,5430000000
2017-02-24,41.150394439697266,41.16827364322184,40.92990320674195,41.105205785228605,27844000,5430000000
2017-02-27,41.18218231201172,41.24276853166201,40.91997670153596,40.94728994382593,22030000,5430000000
2017-02-28,40.880741119384766,41.14542835557202,40.73126279057046,40.9999244461156,45216000,5430000000
2017-03-01,41.47815704345703,41.52856283813075,41.08186686759317,41.16082862096021,29930000,5430000000
2017-03-02,41.24922561645508,41.4419035150586,41.20005874810038,41.40913065451548,18850000,5430000000
2017-03-03,41.172245025634766,41.28547240581915,41.006929640672915,41.24574336755201,17928000,5430000000
2017-03-06,41.107688903808594,41.162315385195306,40.84051623159699,41.06647087835388,22180000,5430000000
2017-03-07,41.31278991699219,41.38728092425163,41.04512089299215,41.08882056634195,20752000,5430000000
2017-03-08,41.48461151123047,41.62266670332716,41.30682727955076,41.39224130476147,19796000,5430000000
2017-03-09,41.64898681640625,41.81385893391926,41.42700656792362,41.515898690846,25230000,5430000000
2017-03-10,41.87593078613281,41.958366838282195,41.68970517554147,41.877423561413025,34080000,5430000000
2017-03-13,41.989654541015625,42.14583520767222,41.875930828183535,41.91317822360105,24472000,5430000000
2017-03-14,41.99362564086914,42.07407637865082,41.75426632043514,41.895299487204724,15598000,5430000000
2017-03-15,42.07209014892578,42.14310305961011,41.75277642649261,42.09145833968597,27630000,5430000000
2017-03-16,42.15055465698242,42.25335156378262,42.01895552087751,42.16297045617099,19552000,5430000000
2017-03-17,42.3164176940918,42.379981885256946,42.0676205467328,42.29109355665675,34246000,5430000000
2017-03-20,42.13167953491211,42.22206442430251,41.97028552425432,42.21163394138451,24630000,5430000000
2017-03-21,41.24077606201172,42.38494659413062,41.16926682454289,42.280660710834574,49270000,5430000000
2017-03-22,41.19757080078125,41.49354567951842,41.077891152174004,41.312783490236036,28030000,5430000000
2017-03-23,40.60115432739258,40.84895879314071,40.33681188300382,40.77098970666979,69742000,5430000000
2017-03-24,40.44472885131836,40.817180091363106,40.1696111109964,40.725309997891785,39620000,5430000000
2017-03-27,40.696998596191406,40.802280930814625,39.8954843494107,40.073268582527874,37886000,5430000000
2017-03-28,40.76702117919922,41.01879628831635,40.42471341945151,40.74169325413266,32410000,5430000000
2017-03-29,41.2879524230957,41.35524096894949,40.839521245721684,40.96963137821971,35726000,5430000000
2017-03-30,41.29242706298828,41.400683583365165,41.16827665317098,41.39174587533419,21106000,5430000000
2017-03-31,41.19609069824219,41.29938394135985,41.088326706238526,41.16679213795796,28038000,5430000000
2017-04-03,41.64253616333008,41.756752429718965,41.17920366704653,41.17920366704653,33430000,5430000000
2017-04-04,41.44487762451172,41.47516883510849,41.17005924294364,41.2854689447558,20908000,5430000000
2017-04-05,41.2879524230957,41.83620252102512,41.25368679197511,41.49156089461499,31106000,5430000000
2017-04-06,41.11265563964844,41.535262584874225,41.04213905876821,41.337117509284596,25088000,5430000000
2017-04-07,40.953250885009766,41.14270454122991,40.7468121727774,41.116630225932994,21146000,5430000000
2017-04-10,40.95622634887695,41.18565530355066,40.90855225860102,40.98900299633599,19578000,5430000000
2017-04-11,40.8876953125,41.090159593720344,40.573348658727596,40.955233923170944,21594000,5430000000
2017-04-12,40.93586730957031,41.05207267295659,40.771987853800695,40.817180301861455,18010000,5430000000
2017-04-13,40.89812088012695,41.038161373090844,40.792838557241815,40.82760051608992,22448000,5430000000
2017-04-17,41.57399368286133,41.60279590614367,40.94330758814605,40.97012449637973,17900000,5430000000
2017-04-18,41.55661392211914,41.66139613032116,41.35251291127728,41.42749644767177,16734000,5430000000
2017-04-19,41.62564468383789,41.8247824218561,41.5302965043294,41.704106316574176,19084000,5430000000
2017-04-20,41.796478271484375,41.972769735289475,41.68076923850333,41.78604778792849,19180000,5430000000
2017-04-21,41.872955322265625,41.907220957908365,41.744334159196214,41.85756154986221,26472000,5430000000
2017-04-24,42.84479904174805,42.87906467252108,42.20418253931587,42.27072848567783,27450000,5430000000
2017-04-25,43.31855773925781,43.452638499569375,42.847280291078015,42.95603691671715,33440000,5430000000
2017-04-26,43.290252685546875,43.50478798702769,43.09250921184515,43.414403094541704,24744000,5430000000
2017-04-27,43.415401458740234,43.47250958854488,43.223216101854355,43.38312113856936,40536000,5430000000
2017-04-28,44.9901237487793,45.53092140380154,44.980689711627015,45.22352713220469,65526000,5430000000
2017-05-01,45.31837844848633,45.47282007574061,44.766153869893195,44.79048913893262,42320000,5430000000
2017-05-02,45.510555267333984,45.72558688033755,45.16357975647385,45.171873372910554,31744000,5430000000
2017-05-03,46.036956787109375,46.089594163211615,45.31703373088921,45.432094874979676,29990000,5430000000
2017-05-04,46.266395568847656,46.47844547111132,45.915297792565326,45.988796149733936,28442000,5430000000
2017-05-05,46.04142761230469,46.427287307438306,45.94558309959596,46.35974869481445,38226000,5430000000
2017-05-08,46.397483825683594,46.52784021946051,45.9485563495971,45.99126335624283,26596000,5430000000
2017-05-09,46.291717529296875,46.556404784722126,46.16061472373326,46.52909154236429,31636000,5430000000
