Date,Close_JPM,High_JPM,Low_JPM,Open_JPM,Volume_JPM,TotalRevenue,GrossProfit,OperatingIncome,NetIncome,TotalAssets,TotalLiab,CommonStock,OperatingCashFlow,CapEx,DebtToEquity,FreeCashFlow
1991-01-02,1.3401610851287842,1.3550518774593001,1.2805982566273089,1.2954890489578248,2010000,,,,,,,,,,,
1991-01-03,1.3401610851287842,1.3550518774593001,1.3103798412883407,1.3550518774593001,1107600,,,,,,,,,,,
1991-01-04,1.3550513982772827,1.3848326315862944,1.3252698241478031,1.340160611212543,1329600,,,,,,,,,,,
1991-01-07,1.2954885959625244,1.35505140363659,1.2954885959625244,1.3252698293893226,1274400,,,,,,,,,,,
1991-01-08,1.2954885959625244,1.3252698293893226,1.2954885959625244,1.310379383086158,624000,,,,,,,,,,,
1991-01-09,1.250816822052002,1.340160880770002,1.250816822052002,1.3103796414708475,1032000,,,,,,,,,,,
1991-01-10,1.2805970907211304,1.2954878694944931,1.2657066527680458,1.2657066527680458,436500,,,,,,,,,,,
1991-01-11,1.3103803396224976,1.3103803396224976,1.265708286462875,1.2954895416290506,523200,,,,,,,,,,,
1991-01-14,1.2657077312469482,1.2954889733492707,1.2657077312469482,1.2805981818878251,528900,,,,,,,,,,,
1991-01-15,1.2954885959625244,1.310379383086158,1.2805978088388905,1.2954885959625244,577500,,,,,,,,,,,
1991-01-16,1.3103803396224976,1.3252707967952262,1.2954895416290506,1.2954895416290506,740700,,,,,,,,,,,
1991-01-17,1.3103803396224976,1.3997244459417424,1.3103803396224976,1.3699428499548487,2193000,,,,,,,,,,,
1991-01-18,1.3252698183059692,1.3252698183059692,1.2954885851282343,1.310379372127335,887100,,,,,,,,,,,
1991-01-21,1.3997232913970947,1.3997232913970947,1.3252697036627104,1.3401604893736745,709200,,,,,,,,,,,
1991-01-22,1.4890674352645874,1.518848668090922,1.474176648441189,1.474176648441189,1699800,,,,,,,,,,,
1991-01-23,1.503957986831665,1.5486300096169667,1.4890675397835553,1.518848774700261,1368000,,,,,,,,,,,
1991-01-24,1.4890674352645874,1.563520687740655,1.4890674352645874,1.5337394549143204,749400,,,,,,,,,,,
1991-01-25,1.5784111022949219,1.5933015447859389,1.503957526558309,1.518848309869708,687300,,,,,,,,,,,
1991-01-28,1.5784111022949219,1.5933015447859389,1.563520318983523,1.563520318983523,490800,,,,,,,,,,,
1991-01-29,1.59330153465271,1.608192317869405,1.5635203090396994,1.59330153465271,1639500,,,,,,,,,,,
1991-01-30,1.548629641532898,1.6081924380296881,1.548629641532898,1.6081924380296881,1397100,,,,,,,,,,,
1991-01-31,1.5635210275650024,1.5784118176248478,1.5486302375051568,1.5486302375051568,1020600,,,,,,,,,,,
