Date,Close_JPM,High_JPM,Low_JPM,Open_JPM,Volume_JPM,SharesOutstanding
2012-01-03,24.019651412963867,24.163851094841633,23.353582473674543,23.38791797649114,44102800,2749753854
2012-01-04,24.17181396484375,24.310136743930084,23.74301572413493,23.81909074625922,36571200,2749753854
2012-01-05,24.67667579650879,24.842660926145584,23.79141473634972,24.00581241532108,38381400,2749753854
2012-01-06,24.455373764038086,24.738934265695043,24.30321844763618,24.683604100353445,33160600,2749753854
2012-01-09,24.41386604309082,24.67667894319584,24.199468336780185,24.510691154106773,23001800,2749753854
2012-01-10,24.932579040527344,25.140061837986618,24.732011193059055,24.94641157879622,35972800,2749753854
2012-01-11,25.35447120666504,25.40980137934369,24.662859877908996,24.759685041808787,29852900,2749753854
2012-01-12,25.48586082458496,25.62418353340855,25.01556519755648,25.465113341661603,39420700,2749753854
2012-01-13,24.842668533325195,24.842668533325195,24.29629778948766,24.38620532961937,61571500,2749753854
2012-01-17,24.14414405822754,24.676684936440274,23.860583604975258,24.10264644130512,55115100,2749753854
2012-01-18,25.271467208862305,25.368292329171968,23.881327586454514,23.88824517406901,55502100,2749753854
2012-01-19,25.541194915771484,25.69335018285115,25.38903964869182,25.478949819083134,37000400,2749753854
2012-01-20,25.838584899902344,25.86624997043344,25.326791648222454,25.437449292060492,34716500,2749753854
2012-01-23,26.04607582092285,26.23972609880073,25.776347894368044,25.804012973575503,27499200,2749753854
2012-01-24,26.04607582092285,26.20514606893499,25.45128980939832,25.714102785294845,25403800,2749753854
2012-01-25,26.004581451416016,26.156736767781865,25.67260837430757,25.83859623200554,29860700,2749753854
2012-01-26,25.928491592407227,26.350371989297212,25.762503829705572,26.19821939829718,33284600,2749753854
2012-01-27,25.7348575592041,26.046083192655203,25.693362566935892,25.748690102722808,27674600,2749753854
2012-01-30,25.596527099609375,25.70718477634411,25.146981442125114,25.354464256216858,24423600,2749753854
2012-01-31,25.797090530395508,25.963078336119192,25.541195191596216,25.95616074847543,29649500,2749753854
2012-02-01,26.004581451416016,26.30197449433791,25.9354213830429,26.205149343300548,41957800,2749753854
