Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,SharesOutstanding
1997-01-02,0.15760566294193268,0.15948180094838804,0.15572952493547731,0.158543725682474,143113600,14840390000
1997-01-03,0.16323401033878326,0.1669871240198674,0.15760559861660356,0.15854366097428305,119716800,14840390000
1997-01-06,0.13415226340293884,0.13767002712963716,0.12946192429271478,0.13227612525377447,1882832000,14840390000
1997-01-07,0.131337970495224,0.13696638100239794,0.131337970495224,0.13602830632185317,976931200,14840390000
1997-01-08,0.13227610290050507,0.13790536812212262,0.13039997759375982,0.1369664537434829,1100131200,14840390000
1997-01-09,0.13321414589881897,0.13415220832558464,0.1313380085199191,0.13321414589881897,446656000,14840390000
1997-01-10,0.13696640729904175,0.13696640729904175,0.13227605804653164,0.13227605804653164,353718400,14840390000
1997-01-13,0.13602831959724426,0.1388433705876924,0.13602831959724426,0.1388433705876924,305748800,14840390000
1997-01-14,0.13415226340293884,0.13790539142667863,0.1332142005910435,0.13790539142667863,255774400,14840390000
1997-01-15,0.12946189939975739,0.13509031276501815,0.1285238367682329,0.13509031276501815,433092800,14840390000
1997-01-16,0.12570959329605103,0.12852380555797385,0.12477153089232225,0.12852380555797385,671305600,14840390000
1997-01-17,0.12570959329605103,0.12852380555797385,0.12477153089232225,0.12570959329605103,325147200,14840390000
1997-01-20,0.12711668014526367,0.12852379239479528,0.12570958042109903,0.1266476552541201,291625600,14840390000
1997-01-21,0.12946189939975739,0.12946189939975739,0.12664769897981265,0.12758576161133714,284827200,14840390000
1997-01-22,0.12899282574653625,0.1313380004575412,0.12758572593008038,0.1303999380883599,205620800,14840390000
1997-01-23,0.12946189939975739,0.13039997455665314,0.1285238367682329,0.12946189939975739,172345600,14840390000
1997-01-24,0.1266477406024933,0.12946194194732308,0.1266477406024933,0.12946194194732308,188283200,14840390000
1997-01-27,0.12477152794599533,0.12946186490461917,0.12477152794599533,0.12852380252304157,214043200,14840390000
1997-01-28,0.12477152794599533,0.12758572761609605,0.1238326138393974,0.12758572761609605,210560000,14840390000
1997-01-29,0.12477152794599533,0.12570959032757292,0.1238326138393974,0.12477152794599533,151704000,14840390000
1997-01-30,0.12570959329605103,0.12570959329605103,0.12383261676355303,0.12570959329605103,139932800,14840390000
1997-01-31,0.12477152794599533,0.12477152794599533,0.1238326138393974,0.12477152794599533,199628800,14840390000
1997-02-03,0.12242554128170013,0.12758575604318467,0.12195650372372219,0.12664769345259952,368110400,14840390000
1997-02-04,0.11539001762866974,0.12289455525407154,0.11351388009097689,0.12195649274790993,712644800,14840390000
1997-02-05,0.11445191502571106,0.11726612691699245,0.11445191502571106,0.11445191502571106,394486400,14840390000
1997-02-06,0.12008035182952881,0.12101841430928065,0.11445193937491005,0.11445193937491005,399504000,14840390000
1997-02-07,0.11867325007915497,0.12383262495434588,0.11820421258358241,0.12383262495434588,235267200,14840390000
1997-02-10,0.11726612597703934,0.12101838759306041,0.11726612597703932,0.12101838759306041,185404800,14840390000
1997-02-11,0.11773516237735748,0.12008033707666685,0.11632806256791894,0.11914226218679601,140078400,14840390000
1997-02-12,0.11820419877767563,0.11914226113388872,0.11632806153988184,0.11820419877767563,176265600,14840390000
1997-02-13,0.1210184171795845,0.1210184171795845,0.11632807961884183,0.11820421714821282,195832000,14840390000
1997-02-14,0.12242554128170013,0.12289456631430734,0.12008036601718114,0.12195650372372219,237249600,14840390000
1997-02-18,0.13415226340293884,0.13415226340293884,0.12195653249601997,0.12477158518249071,368278400,14840390000
1997-02-19,0.13227610290050507,0.13415224073262189,0.128523839761643,0.13415224073262189,241292800,14840390000
1997-02-20,0.12758569419384003,0.1322760299237869,0.12758569419384003,0.1322760299237869,124947200,14840390000
1997-02-21,0.12289454787969589,0.1275857369048785,0.12008034800470951,0.126647674455006,211086400,14840390000
1997-02-24,0.12477152794599533,0.12664766523451845,0.12195647655087428,0.12195647655087428,117588800,14840390000
1997-02-25,0.1266477406024933,0.13040001741251664,0.1266477406024933,0.12758580354231142,138084800,14840390000
1997-02-26,0.1285237967967987,0.1285237967967987,0.1257095847267143,0.12758572193164813,103174400,14840390000
1997-02-27,0.12758569419384003,0.1285237688550482,0.12570955739678835,0.12758569419384003,102995200,14840390000
1997-02-28,0.1219564899802208,0.1266476791804394,0.1219564899802208,0.1266476791804394,121878400,14840390000
1997-03-03,0.1210184171795845,0.12383262973632575,0.1200803546775838,0.12383262973632575,130457600,14840390000
1997-03-04,0.12383268028497696,0.12383268028497696,0.12008040369455111,0.12195654198976404,103196800,14840390000
1997-03-05,0.12758569419384003,0.12758569419384003,0.1238325814003041,0.12477149526094483,96163200,14840390000
1997-03-06,0.12477152794599533,0.12758572761609605,0.1238326138393974,0.12758572761609605,116289600,14840390000
1997-03-07,0.12383268028497696,0.12570965778029256,0.12289460487468316,0.12570965778029256,70616000,14840390000
1997-03-10,0.12477152794599533,0.12570959032757292,0.12336357638592464,0.12477152794599533,99187200,14840390000
1997-03-11,0.12289454787969589,0.1247715370298921,0.12008034800470951,0.1247715370298921,98504000,14840390000
1997-03-12,0.1219564899802208,0.1257096041701969,0.1210184149699783,0.1219564899802208,70996800,14840390000
1997-03-13,0.12289454787969589,0.12289454787969589,0.12101841045458202,0.12289454787969589,105089600,14840390000
1997-03-14,0.12430167198181152,0.12570961125085361,0.12195649684948147,0.12289455938719147,230417600,14840390000
1997-03-17,0.12383268028497696,0.12383268028497696,0.12008040369455111,0.12195654198976404,192752000,14840390000
1997-03-18,0.1219564899802208,0.12383262747533645,0.1210184149699783,0.12289455246509395,127075200,14840390000
1997-03-19,0.1210184171795845,0.1228945547089555,0.11914227965021353,0.1228945547089555,208230400,14840390000
1997-03-20,0.12946189939975739,0.13133803718817763,0.11914229610088435,0.12008037125778012,317038400,14840390000
1997-03-21,0.12477152794599533,0.1313380021931423,0.12289453893245188,0.1313380021931423,136460800,14840390000
1997-03-24,0.12383268028497696,0.12477159489537343,0.12195654198976404,0.12383268028497696,71220800,14840390000
1997-03-25,0.12383268028497696,0.12477159489537343,0.1206671172946924,0.12477159489537343,112560000,14840390000
1997-03-26,0.12570959329605103,0.12664766822514806,0.12195647943072722,0.122894541834456,106836800,14840390000
1997-03-27,0.13978147506713867,0.14447181234833492,0.12946187380820676,0.131338011225759,1138905600,14840390000
1997-03-31,0.13696640729904175,0.14540985761765665,0.12946185851531944,0.13978145855523225,970244800,14840390000
1997-04-01,0.131337970495224,0.13368314467122103,0.13039990834004414,0.13227603265040386,220259200,14840390000
1997-04-02,0.13509027659893036,0.13555931405180852,0.13227606440702938,0.13415220169317407,222432000,14840390000
1997-04-03,0.14165766537189484,0.1435338034898942,0.13696647461418632,0.1388434519322091,548856000,14840390000
1997-04-04,0.14447180926799774,0.14728600907163913,0.1425956718904473,0.1435337468419068,475249600,14840390000
1997-04-07,0.1463479846715927,0.14916218520645644,0.14447184680655964,0.14822412253662579,255259200,14840390000
1997-04-08,0.14353370666503906,0.14728596784446688,0.13978143296024623,0.14728596784446688,193827200,14840390000
1997-04-09,0.14259572327136993,0.14447186132494136,0.14165766050727074,0.14447186132494136,244988800,14840390000
1997-04-10,0.14165766537189484,0.1435338034898942,0.1388434519322091,0.14259572816820779,116984000,14840390000
1997-04-11,0.13696640729904175,0.14165759575116282,0.1360283324383928,0.14165759575116282,79564800,14840390000
1997-04-14,0.14071956276893616,0.14165763790875813,0.1350903103062567,0.1379053624002123,112358400,14840390000
1997-04-15,0.13837435841560364,0.1444718079691674,0.13602834438372238,0.1435337455515098,136046400,14840390000
1997-04-16,0.13931246101856232,0.14259569892029025,0.13790536085001762,0.13978149858320085,86217600,14840390000
1997-04-17,0.14259572327136993,0.14353379856084217,0.13602839462118876,0.13696646991066103,219464000,14840390000
1997-04-18,0.1379053294658661,0.14353374138451583,0.1379053294658661,0.14353374138451583,141444800,14840390000
1997-04-21,0.13509027659893036,0.13978146527662735,0.13509027659893036,0.13978146527662735,89152000,14840390000
1997-04-22,0.13884340226650238,0.13884340226650238,0.13415221318688025,0.136028350633766,94651200,14840390000
1997-04-23,0.13602831959724426,0.1388433705876924,0.13602831959724426,0.13790530834096434,54488000,14840390000
1997-04-24,0.13415226340293884,0.13884345423857394,0.1332142005910435,0.13884345423857394,74939200,14840390000
