Date,Close_ORCL,High_ORCL,Low_ORCL,Open_ORCL,Volume_ORCL,TotalRevenue,GrossProfit,OperatingIncome,NetIncome,TotalAssets,TotalLiab,CommonStock,OperatingCashFlow,CapEx,DebtToEquity,FreeCashFlow
1999-01-04,5.755149841308594,5.9475455750955275,5.6714991559982675,5.83879976077636,43098000,,,,,,,,,,,
1999-01-05,5.930816173553467,5.939180706600006,5.562753744227274,5.65476973448013,67004400,,,,,,,,,,,
1999-01-06,6.2068610191345215,6.2905109231801015,5.930814650930785,5.972639602953575,75255600,,,,,,,,,,,
1999-01-07,6.106481552124023,6.307242581061333,6.056291294889696,6.056291294889696,48528000,,,,,,,,,,,
1999-01-08,6.190131664276123,6.215226793679732,6.022831056866251,6.139941405468904,50915400,,,,,,,,,,,
1999-01-11,6.315608024597168,6.432719152269262,6.257053226603779,6.357433755555483,55628400,,,,,,,,,,,
1999-01-12,6.148305416107178,6.4243517817283164,6.03955962285441,6.4076219542442026,43664400,,,,,,,,,,,
1999-01-13,6.123210906982422,6.257051837825709,5.83879921613137,6.014465102807096,63853800,,,,,,,,,,,
1999-01-14,5.972639560699463,6.173400554336419,5.855529236358709,6.173400554336419,59686200,,,,,,,,,,,
1999-01-15,6.307242393493652,6.332337521364526,5.964275135363367,6.056291114784919,69376800,,,,,,,,,,,
1999-01-19,6.917893409729004,6.968083690249028,6.597931137256754,6.74222742790892,95794800,,,,,,,,,,,
1999-01-20,6.80914306640625,7.2106650012146325,6.80914306640625,7.160474759363584,81503400,,,,,,,,,,,
1999-01-21,6.516366958618164,6.968079191674062,6.4410815864421815,6.792413323263435,92055000,,,,,,,,,,,
1999-01-22,6.675304412841797,6.968080666896107,6.323972601639597,6.340702432606464,61857600,,,,,,,,,,,
1999-01-25,6.834239959716797,6.959715596885143,6.658574067681111,6.750589279657062,32653200,,,,,,,,,,,
1999-01-26,7.076824188232422,7.085189483924819,6.867697922661092,6.936710271899298,40450200,,,,,,,,,,,
1999-01-27,6.825874328613281,7.185571392877404,6.825874328613281,7.110286014252992,54046200,,,,,,,,,,,
1999-01-28,7.18557071685791,7.269220619120256,6.951349305670056,6.959714602233251,55992000,,,,,,,,,,,
1999-01-29,7.411427974700928,7.511808485573434,7.2441266126850685,7.294316868121323,68132400,,,,,,,,,,,
1999-02-01,7.913330554962158,8.080631151683036,7.695838936798241,7.796219447999272,88941600,,,,,,,,,,,
1999-02-02,7.8715033531188965,8.26466079204901,7.645647245332721,8.147549707079778,105376800,,,,,,,,,,,
1999-02-03,8.130818367004395,8.139183661757368,7.84640676966794,7.913327596007245,56942400,,,,,,,,,,,
1999-02-04,7.804581165313721,8.214468319951758,7.796215871270603,8.197737731865521,49137000,,,,,,,,,,,
1999-02-05,7.520172595977783,7.829679409096839,7.436522685502076,7.804584282785631,81045600,,,,,,,,,,,
1999-02-08,7.679106712341309,7.8882329674135,7.612186647688812,7.6623768876387555,56399400,,,,,,,,,,,
1999-02-09,7.311042308807373,7.746023705320869,7.193931284802834,7.720928595297322,52063800,,,,,,,,,,,
